OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1986-019LU","ARIANE 1 DEB","17702","FR","99.44","98.44","737","726","SMALL","0","1986-02-22",""
"1965-027V","OPS 4682 DEB","17666","US","111.11","90.31","1309","1247","SMALL","0","1965-04-03",""
"1969-082KU","THORAD AGENA D DEB","17658","US","103.20","70.36","951","869","SMALL","0","1969-09-30",""
"1961-015LH","THOR ABLESTAR DEB","17648","US","102.11","65.72","916","801","SMALL","0","1961-06-29",""
"1981-053LM","COSMOS 1275 DEB","17642","CIS","101.13","82.87","841","783","SMALL","0","1981-06-04",""
"1981-053LL","COSMOS 1275 DEB","17641","CIS","102.35","82.76","913","826","SMALL","0","1981-06-04",""
"1981-053LK","COSMOS 1275 DEB","17640","CIS","101.61","82.92","854","816","SMALL","0","1981-06-04",""
"1981-053LJ","COSMOS 1275 DEB","17639","CIS","106.12","83.00","1167","927","SMALL","0","1981-06-04",""
"1981-053LH","COSMOS 1275 DEB","17638","CIS","105.35","82.99","1101","920","SMALL","0","1981-06-04",""
"1981-053LG","COSMOS 1275 DEB","17637","CIS","105.87","83.07","1139","931","SMALL","0","1981-06-04",""
"1981-053LE","COSMOS 1275 DEB","17635","CIS","102.34","82.83","906","833","SMALL","0","1981-06-04",""
"1981-053LC","COSMOS 1275 DEB","17633","CIS","105.01","83.07","1131","858","SMALL","0","1981-06-04",""
"1981-053LB","COSMOS 1275 DEB","17632","CIS","106.02","83.09","1152","932","SMALL","0","1981-06-04",""
"1981-053LA","COSMOS 1275 DEB","17631","CIS","105.67","82.93","1124","928","SMALL","0","1981-06-04",""
"1981-053KY","COSMOS 1275 DEB","17629","CIS","105.71","82.99","1151","904","SMALL","0","1981-06-04",""
"1981-053KW","COSMOS 1275 DEB","17627","CIS","103.33","82.93","952","881","SMALL","0","1981-06-04",""
